アカリ	明かり
ブンギョウ	分業
ジュウタイ	重体
ヘタ	下手
メイキ	明記
クカク	区画
サンセイケン	参政権
フホンイ	不本意
ヤスウリ	安売り
クル	来る
フサク	不作
モクテキチ	目的地
ニュウキン	入金
ココチ	心地
ヤシン	野心
シンジャ	信者
ゼンシュウ	全集
デアウ	出会う
メイブツ	名物
ナリタツ	成り立つ
ソトガワ	外側
ナリユキ	成り行き
ガッキ	学期
サイゴ	最期
ヒキワケ	引き分け
コウゲン	公言
ヒキダシ	引き出し
メイショ	名所
イッケン	一見
ゲンシ	原子
スイチュウ	水中
スイブン	水分
センケツ	先決
ウゴカス	動かす
ジョウキョウ	上京
シュッピン	出品
ヒトメ	人目
ジツメイ	実名
ダイメイ	題名
チメイ	地名
カワス	交わす
ガイジン	外人
オモイダス	思い出す
イイマワシ	言い回し
トッケン	特権
セソウ	世相
セイリ	生理
ナイメン	内面
ショウタイ	正体
ネンシ	年始
ミナオス	見直す
タモツ	保つ
クダサル	下さる
クダル	下る
トシシタ	年下
ハンメイ	判明
キニュウ	記入
カイメン	海面
コウカ	高価
リョウカイ	領海
フゴウリ	不合理
カクシン	確信
コウリ	小売
マエウリ	前売り
サドウ	作動
リセイ	理性
ケン	権
オワル	終わる
カイシン	会心
ケッシン	決心
シンジュウ	心中
シンチュウ	心中
ナイシン	内心
ブンリツ	分立
サク	策
シタク	支度
ツヨイ	強い
シイル	強いる
イチドウ	一同
ケンブツ	見物
サンブツ	産物
ショモツ	書物
イキモノ	生き物
モノゴト	物事
セイネン	成年
コウシ	公使
アラソウ	争う
ハシュツジョ	派出所
タイダン	対談
ウツ	撃つ
ムゴン	無言
ムスウ	無数
サイド	再度
シナモノ	品物
ヒトメ	一目
セイカイ	正解
ブンカイ	分解
ヒトマエ	人前
ニンマエ	人前
ウミダス	生み出す
セイネンガッピ	生年月日
ジョウリュウ	上流
シガイ	市外
マシ	増し
ムコウ	向こう
コクユウ	国有
ハッスル	発する
マギワ	間際
トクサン	特産
ミンワ	民話
カッテ	勝手
ニンジョウ	人情
ヘイメン	平面
メンボク	面目
メンモク	面目
タイチョウ	体長
コクゼイ	国税
ゼイカン	税関
ブンガクシャ	文学者
ケントウ	見当
シュツダイ	出題
リョウガワ	両側
テクビ	手首
カゾエル	数える
イマニ	今に
アトマワシ	後回し
ジサン	持参
フツウ	不通
ヒニチ	日日
ウリダス	売り出す
コウエイ	公営
クム	組む
ウンコウ	運行
ココノツ	九つ
シリアウ	知り合う
アンガイ	案外
ミヤゲ	土産
ドダイ	土台
ドウジョウ	道場
カジツ	果実
ガッカイ	学界
オイタチ	生い立ち
タツ	立つ
ケツゴウ	結合
カケツ	可決
ブンベツ	分別
フンベツ	分別
サクモツ	作物
ブッタイ	物体
オウタイ	応対
デンポウ	電報
ヒキアゲル	引き上げる
ヒキサゲル	引き下げる
サイゲツ	歳月
ミウチ	身内
キメル	決める
チョウショ	長所
ヨウショ	要所
ツグ	次ぐ
シダイ	次第
フカ	付加
スイヘイ	水平
フノウ	不能
キル	切る
セツジツ	切実
ムメイ	無名
ムヨウ	無用
ハンツキ	半月
サイカイ	再会
シャセツ	社説
ネンピョウ	年表
ソウロン	総論
ショクモツ	食物
マッサキ	真っ先
カリュウ	下流
オオドオリ	大通り
ヨキ	予期
ナガシ	流し
ミズマシ	水増し
ホセイ	補正
ウタガウ	疑う
タイカ	大家
ヨカン	予感
コウジツ	口実
ユウセイ	優勢
アヤマチ	過ち
イキスギ	行き過ぎ
イチブブン	一部分
チュウダン	中断
ヘン	変
ムダン	無断
ヨコク	予告
ナンラ	何ら
ナンジュウ	何十
ガンライ	元来
カクジ	各自
キンセイ	近世
クイチガイ	食い違い
ケシゴム	消しゴム
ショウカ	消化
リョウリツ	両立
サダマル	定まる
ホウキ	法規
デキアガリ	出来上がり
エイリ	営利
ジエイ	自営
セイタイ	生態
ロジ	路地
アキ	空き
ウンドウカイ	運動会
チセイ	知性
モチイル	用いる
ネンパイ	年配
キョウヨウ	強要
ムジョウケン	無条件
タイベツ	大別
クヤクショ	区役所
ジツブツ	実物
フヒツヨウ	不必要
カマウ	構う
カエル	代える
アケガタ	明け方
ヒキズル	引きずる
インヨウ	引用
コウテイ	公定
ワリアテ	割り当て
ナガモチ	長持ち
ホイクショ	保育所
ウケミ	受け身
ミノマワリ	身の回り
ヘンシン	変身
キマリ	決まり
ゲスイ	下水
ムカンケイ	無関係
ムカンシン	無関心
ハンニチ	半日
シタギ	下着
センチャク	先着
テイチャク	定着
ハッチャク	発着
ヒッチャク	必着
ノセル	乗せる
シュショク	主食
セイケイ	生計
シンカ	真価
セイシ	生死
クワワル	加わる
デンリュウ	電流
ナンカン	難関
ハズレル	外れる
タイカク	体格
フゴウカク	不合格
キョウユウ	共有
チョクセン	直線
ヒナタ	日向
テギワ	手際
ドウカン	同感
ハンカン	反感
ヒトクチ	一口
ビョウジョウ	病状
ヤサシイ	優しい
ハナス	話す
スクナイ	少ない
ショウショウ	少々
スクナカラズ	少なからず
ホウダイ	放題
ブンタイ	文体
ゾクシュツ	続出
ジョウヨウ	常用
ヘイジョウ	平常
ゲンシ	原始
ハジメル	始める
シハツ	始発
ハジメ	始め
ケイダイ	境内
サガル	下がる
サイケツ	裁決
ジョゲン	助言
フシゼン	不自然
アキチ	空き地
ドウセイ	同性
ダイゼンテイ	大前提
リョウクウ	領空
カギリ	限り
ジゲン	時限
コユビ	小指
テキチュウ	的中
シタシム	親しむ
ショシン	初心
ホンシン	本心
カガイシャ	加害者
スイガイ	水害
クバル	配る
キクバリ	気配り
ゾウゲン	増減
シリョク	視力
ムシ	無視
ショウダン	商談
チイサイ	小さい
ベツメイ	別名
ヤクバ	役場
テツダイ	手伝い
ソウオウ	相応
ホウジル	報じる
ヒキトル	引き取る
ソダチ	育ち
ツカイミチ	使い道
カキカタ	書き方
シュウラク	集落
ラクゴ	落語
カハンシン	下半身
コウツウヒ	交通費
ラク	楽
キラク	気楽
コノマシイ	好ましい
コウカン	好感
スイリョク	水力
ホンノウ	本能
オコス	起こす
キョウヨウ	共用
タイイン	退院
テイキ	提起
ムジツ	無実
ホッキニン	発起人
ユライ	由来
ミズギ	水着
キル	着る
コクソ	告訴
ジンメイ	人名
ナダカイ	名高い
ジキ	時機
カイテン	開店
センシ	戦死
エイブン	英文
クワエル	加える
チュウリュウ	中流
ナンカイ	難解
ナンテン	難点
ブナン	無難
ソウテイ	想定
ウシロムキ	後ろ向き
イエデ	家出
コウロン	口論
アカイ	赤い
デイリグチ	出入り口
トウジル	投じる
マイアサ	毎朝
リョウシュウショ	領収書
フヘン	不変
シイレ	仕入れ
シアゲ	仕上げ
ナニゴト	何事
ブンポウ	文法
ナンデ	何で
タイキ	待機
ススム	進む
シンニュウ	進入
タダシイ	正しい
アシクビ	足首
チョクツウ	直通
ワタス	渡す
イジュウ	移住
ケサ	今朝
ジツレイ	実例
コウサテン	交差点
タツ	建つ
タノシイ	楽しい
フエル	増える
ムカウ	向かう
ヒクイ	低い
コウバン	交番
ゼンゼン	全然
シンセツ	親切
ワカレル	別れる
ヒキダス	引き出す
ウワギ	上着
ノコル	残る
ヒトリ	一人
マツ	待つ
イソグ	急ぐ
オトス	落とす
ノリモノ	乗り物
ハナミ	花見
シロイ	白い
フルイ	古い
ヤクニタツ	役に立つ
ヨム	読む
ニガイ	苦い
ノル	乗る
ヒコウジョウ	飛行場
コンヤ	今夜
ホソイ	細い
ハツオン	発音
モウシアゲル	申し上げる
アゲル	上げる
ノボル	登る
ケシキ	景色
オモシロイ	面白い
セビロ	背広
クロイ	黒い
アウ	会う
ルス	留守
モウス	申す
マルイ	丸い
ユビワ	指輪
アツイ	熱い
シュクダイ	宿題
ウツス	写す
ショウチ	承知
ハヤイ	速い
フカイ	深い
キビシイ	厳しい
ツクル	作る
レイボウ	冷房
ヨウジ	用事
ナオル	治る
ワカル	分かる
イガイ	以外
ゲシュク	下宿
ヨロコブ	喜ぶ
スバラシイ	素晴らしい
ヨウフク	洋服
コウトウガッコウ	高等学校
オモイ	重い
フム	踏む
ムカエル	迎える
コワス	壊す
オナジ	同じ
ヒトツ	一つ
クニ	国
トシ	年
オトナ	大人
オオキイ	大きい
フタツ	二つ
フタリ	二人
カツ	勝つ
ダス	出す
ミッツ	三つ
サン	三
トキドキ	時々
ヒエル	冷える
コト	事
ダイジ	大事
オコナウ	行う
カイシャ	会社
シャカイ	社会
シャチョウ	社長
ジブン	自分
ジュウブン	十分
カイギ	会議
ウシロ	後ろ
コワレル	壊れる
クレル	暮れる
イキル	生きる
フベン	不便
イツツ	五つ
カリル	借りる
シュッパツ	出発
アイダ	間
ジカン	時間
オソイ	遅い
ブチョウ	部長
ヒガシ	東
ノリカエル	乗り換える
マニアウ	間に合う
アウ	合う
シミン	市民
ウチ	内
ミセル	見せる
ヨッツ	四つ
ヨン	四
イマ	今
コンゲツ	今月
コトシ	今年
サライネン	再来年
アタラシイ	新しい
カイジョウ	会場
バアイ	場合
オカネ	お金
イタイ	痛い
キュウ	九
エラブ	選ぶ
ガクセイ	学生
コドモ	子供
ダイガク	大学
ニュウガク	入学
タカイ	高い
ジダイ	時代
カワリ	代わり
アカルイ	明るい
ハジマル	始まる
ケッシテ	決して
ゼンブ	全部
カヨウ	通う
ガイコク	外国
ガイコクジン	外国人
ニゲル	逃げる
モットモ	最も
サイゴ	最後
チリ	地理
カラダ	体
ナル	成る
ホントウ	本当
ハチ	八
ロク	六
ウタ	歌
キコエル	聞こえる
モンダイ	問題
ヒッコス	引っ越す
サゲル	下げる
シメル	締める
クビ	首
イケン	意見
オクリモノ	贈り物
ホシイ	欲しい
ライゲツ	来月
ライネン	来年
タベル	食べる
ヨウイ	用意
セイジ	政治
コンド	今度
キブン	気分
ハラウ	払う
シチ	七
コウムイン	公務員
モツ	持つ
キモチ	気持ち
トル	取る
ツゴウ	都合
イカ	以下
イナイ	以内
キカイ	機会
ヤマ	山
オモウ	思う
カナイ	家内
カイワ	会話
ハナシ	話
セワ	世話
カヨウビ	火曜日
ショウガツ	正月
アンゼン	安全
スウガク	数学
ニッキ	日記
ニュウイン	入院
オンナ	女
オンナノコ	女の子
ジョセイ	女性
サイショ	最初
キタ	北
ゴゴ	午後
ゴゼン	午前
ユビ	指
アンシン	安心
セカイ	世界
サンギョウ	産業
セイサン	生産
ヒャク	百
リッパ	立派
テン	点
エンリョ	遠慮
キョウカイ	教会
ケイザイ	経済
チガウ	違う
サワグ	騒ぐ
ケス	消す
セイカツ	生活
ハレ	晴れ
センゲツ	先月
センセイ	先生
ナマエ	名前
コウツウ	交通
ヨテイ	予定
ヨヤク	予約
カワ	川
コクサイ	国際
ネル	寝る
サクブン	作文
ブンカ	文化
ブンガク	文学
ハンタイ	反対
ゲンキ	元気
チカイ	近い
サイキン	最近
マルイ	円い
セン	千
カンガエル	考える
ウミ	海
ウル	売る
ウリバ	売り場
リヨウ	利用
シル	知る
アンナイ	案内
ミチ	道
アツマル	集まる
アツメル	集める
ワラウ	笑う
ドウブツ	動物
ツカウ	使う
イタス	致す
キンジョ	近所
ジムショ	事務所
バショ	場所
ミズ	水
スイドウ	水道
ハン	半
ハンブン	半分
マイル	参る
ケイカク	計画
トケイ	時計
カンケイ	関係
トクニ	特に
トクベツ	特別
タイヘン	大変
カワル	変わる
オトコ	男
オトコノコ	男の子
ダンセイ	男性
オシエル	教える
スム	済む
コトリ	小鳥
カザル	飾る
シマ	島
リョウホウ	両方
アサ	朝
ハジメ	初め
タシカ	確か
ムラ	村
ハコブ	運ぶ
ウンドウ	運動
オワリ	終わり
クダモノ	果物
ニシ	西
スギル	過ぎる
ダイドコロ	台所
シラベル	調べる
ヒロイ	広い
カナラズ	必ず
ヒツヨウ	必要
チャイロ	茶色
デンキ	電気
デンワ	電話
マチガエル	間違える
ジュウショ	住所
センソウ	戦争
ソウダン	相談
ムリ	無理
マンナカ	真ん中
ユウメイ	有名
クチ	口
デグチ	出口
ジンコウ	人口
カエス	返す
スコシ	少し
キイロ	黄色
マチ	町
ガッコウ	学校
コウチョウ	校長
コウコウ	高校
コウコウセイ	高校生
ショウガッコウ	小学校
チュウガッコウ	中学校
リョウリ	料理
オキル	起きる
コウギョウ	工業
タテモノ	建物
クウキ	空気
マジメ	真面目
ヨワイ	弱い
キュウ	急
キュウコウ	急行
トッキュウ	特急
オクル	送る
ホウソウ	放送
ヒルヤスミ	昼休み
ケッコウ	結構
マケル	負ける
ワリアイ	割合
シンブン	新聞
シンブンシャ	新聞社
ナオス	直す
トル	撮る
キッテ	切手
タイセツ	大切
ジユウ	自由
テブクロ	手袋
リユウ	理由
ショウセツ	小説
セツメイ	説明
ウンテン	運転
ウンテンシュ	運転手
タベモノ	食べ物
ショクジ	食事
クラベル	比べる
ムズカシイ	難しい
ジテンシャ	自転車
ジドウシャ	自動車
クルマ	車
デンシャ	電車
ホド	程
ミナミ	南
アシ	足
ジンジャ	神社
ミツカル	見付かる
イチバン	一番
バングミ	番組
ヒカル	光る
シンパイ	心配
スワル	座る
アオイ	青い
オオイ	多い
ケイカン	警官
ケンキュウ	研究
キョウイク	教育
シュッセキ	出席
セキ	席
ユシュツ	輸出
ユニュウ	輸入
タズネル	訪ねる
タノシミ	楽しみ
サシアゲル	差し上げる
キモノ	着物
テンイン	店員
アル	有る
セン	線
ビョウイン	病院
ビョウキ	病気
イッパイ	一杯
コエ	声
シツモン	質問
ザンネン	残念
ヤオヤ	八百屋
シアイ	試合
カゾク	家族
ギンコウ	銀行
コウチャ	紅茶
タトエバ	例えば
エイガ	映画
オヤ	親
リョウシン	両親
ケイケン	経験
シケン	試験
コトバ	言葉
カタチ	形
ニンギョウ	人形
オチル	落ちる
ダイスキ	大好き
カッコウ	格好
ジュンビ	準備
ヘン	辺
エイゴ	英語
ギジュツ	技術
マイニチ	毎日
イガク	医学
イシャ	医者
シゴト	仕事
シカタ	仕方
キョネン	去年
イミ	意味
アジ	味
シャシン	写真
カチョウ	課長
サガス	探す
ナゲル	投げる
ウツクシイ	美しい
ミジカイ	短い
ヤスイ	安い
キエル	消える
ナラブ	並ぶ
ケイサツ	警察
ヨコ	横
シロ	白
オボエル	覚える
コタエ	答え
ヒマ	暇
ヨル	夜
オンガク	音楽
ツメタイ	冷たい
クウコウ	空港
ミナト	港
チュウイ	注意
ヨブ	呼ぶ
カエリ	帰り
シヌ	死ぬ
センモン	専門
トオカ	十日
テンキ	天気
カイダン	階段
シッパイ	失敗
アラウ	洗う
タリル	足りる
ネダン	値段
カウ	買う
カイモノ	買い物
ダンボウ	暖房
ウツル	移る
ジョウブ	丈夫
ヒカリ	光
カガク	科学
タイテイ	大抵
ジュギョウ	授業
コマカイ	細かい
チズ	地図
コンシュウ	今週
センシュウ	先週
マイシュウ	毎週
ライシュウ	来週
キョウシツ	教室
フトイ	太い
ハシ	橋
ダンダン	段々
カイガン	海岸
キャク	客
タイフウ	台風
カミ	紙
テガミ	手紙
マワリ	周り
カワイイ	可愛い
オカアサン	お母さん
ハハ	母
ナオル	直る
クロ	黒
カジ	火事
カタイ	固い
コワイ	怖い
ハナ	花
カエル	帰る
ハル	春
ヒコウキ	飛行機
アカチャン	赤ちゃん
バンゴウ	番号
アオ	青
スム	住む
オリル	降りる
オリル	下りる
ミギ	右
モリ	森
キョウソウ	競争
ジコ	事故
エイガカン	映画館
トショカン	図書館
タイシカン	大使館
ビジュツカン	美術館
オクジョウ	屋上
ヘヤ	部屋
ヨミカタ	読み方
イロ	色
ワタル	渡る
トモダチ	友達
サス	差す
マイバン	毎晩
ハシル	走る
コウエン	公園
ドウブツエン	動物園
ドウグ	道具
グアイ	具合
ツカマエル	捕まえる
ヒダリ	左
レキシ	歴史
ジショ	辞書
ショウライ	将来
マガル	曲がる
アキ	秋
ゲンイン	原因
ヤスミ	休み
ヤスム	休む
アツイ	厚い
タナ	棚
オトウサン	お父さん
チチ	父
カノジョ	彼女
ボウエキ	貿易
コウギ	講義
ハヤシ	林
ナツ	夏
ナツヤスミ	夏休み
オジ	伯父
テキトウ	適当
チカテツ	地下鉄
カタイ	堅い
イソガシイ	忙しい
カオ	顔
フウトウ	封筒
ヘンジ	返事
ツマ	妻
テツダウ	手伝う
ヤサシイ	易しい
セナカ	背中
ネツ	熱
ネッシン	熱心
クスリ	薬
キケン	危険
タノム	頼む
ジャマ	邪魔
サカン	盛ん
バイ	倍
アソブ	遊ぶ
トチュウ	途中
タス	足す
エキ	駅
シメル	閉める
ベンリ	便利
トブ	飛ぶ
アブナイ	危ない
ヨシュウ	予習
リュウガクセイ	留学生
ヨゴレル	汚れる
キョウミ	興味
ドロボウ	泥棒
コショウ	故障
カサ	傘
キソク	規則
フツウ	普通
サンポ	散歩
フツカ	二日
ハツカ	二十日
エンピツ	鉛筆
セイヨウ	西洋
ミッカ	三日
シズカ	静か
カルイ	軽い
ケッコン	結婚
ハタチ	二十歳
ソツギョウ	卒業
ツキ	月
カタイ	硬い
ウマレル	生まれる
イツカ	五日
フクシュウ	復習
コノアイダ	この間
リョカン	旅館
リョコウ	旅行
イリグチ	入口
レンシュウ	練習
オス	押す
タオレル	倒れる
モメン	木綿
ヨッカ	四日
ハレル	晴れる
ミツケル	見付ける
ニル	似る
ココノカ	九日
イレル	入れる
レンラク	連絡
タテル	立てる
クツシタ	靴下
ダイガクセイ	大学生
カテイ	家庭
ニワ	庭
セイト	生徒
ウケツケ	受付
ウゴク	動く
フトル	太る
イケ	池
タメ	為
ワカイ	若い
ショウタイ	招待
ヨウカ	八日
ヤッツ	八つ
ムイカ	六日
ムッツ	六つ
ホシ	星
イロイロ	色々
ザッシ	雑誌
レイゾウコ	冷蔵庫
デカケル	出掛ける
ワルイ	悪い
ヨウ	用
トオイ	遠い
サカ	坂
ナノカ	七日
フク	服
サイフ	財布
フトン	布団
テラ	寺
ナラウ	習う
ムスコ	息子
イッショウケンメイ	一生懸命
ツヅク	続く
ツヅケル	続ける
ジシン	地震
ハジメテ	初めて
フクザツ	複雑
ユウビンキョク	郵便局
ツケル	漬ける
ヤクソク	約束
カク	書く
カス	貸す
サキ	先
ユウガタ	夕方
サワル	触る
アカンボウ	赤ん坊
キタナイ	汚い
キセツ	季節
チュウシャ	注射
オク	億
アソビ	遊び
ユメ	夢
チカク	近く
ヨル	寄る
アメ	雨
コム	込む
イッショ	一緒
アヤマル	謝る
シラセル	知らせる
チュウシャジョウ	駐車場
デントウ	電灯
ショウカイ	紹介
ベツ	別
モノ	物
キヌ	絹
クサ	草
ヒク	引く
ノミモノ	飲み物
トコロ	所
ツギ	次
ウエル	植える
カンタン	簡単
ニク	肉
ブンショウ	文章
ホウリツ	法律
ノム	飲む
ヌグ	脱ぐ
ウスイ	薄い
コウドウ	講堂
ショクドウ	食堂
ナクス	無くす
ナクナル	無くなる
サライゲツ	再来月
カケル	掛ける
オク	置く
スウ	吸う
マッスグ	真っ直ぐ
ハイシャ	歯医者
ダレ	誰
オル	折る
カベ	壁
カナシイ	悲しい
トリ	鳥
チョット	一寸
タテル	建てる
ヌスム	盗む
ジテン	辞典
オミヤゲ	お土産
ワカス	沸かす
カンゴフ	看護婦
ヤム	止む
ブタニク	豚肉
ベンキョウ	勉強
ワレル	割れる
キク	聞く
シマル	閉まる
トナリ	隣
ドレ	何れ
フユ	冬
ワスレモノ	忘れ物
オタク	お宅
トマル	泊まる
シツレイ	失礼
ハイザラ	灰皿
スベル	滑る
ヒル	昼
モドル	戻る
ヒルマ	昼間
オチャ	お茶
ソダテル	育てる
マン	万
ツク	着く
ユキ	雪
マンネンヒツ	万年筆
アビル	浴びる
ツカレル	疲れる
ムスメ	娘
スナ	砂
シオ	塩
カタヅケル	片付ける
シュミ	趣味
オクレル	遅れる
オトウト	弟
ウデ	腕
ハガキ	葉書
ツタエル	伝える
ハタラク	働く
イナカ	田舎
スキ	好き
シュウカン	習慣
ミドリ	緑
イル	要る
マド	窓
ジュウドウ	柔道
ヤワラカイ	柔らかい
ヒサシブリ	久し振り
ムカシ	昔
ギュウニク	牛肉
キライ	嫌い
イヤ	嫌
コマル	困る
アニ	兄
キョウダイ	兄弟
オコル	怒る
ヒジョウニ	非常に
オヨグ	泳ぐ
タズネル	尋ねる
スイエイ	水泳
ソフ	祖父
ソボ	祖母
カギ	鍵
ニモツ	荷物
アザ	字
ジビキ	字引
ボク	僕
ヌル	塗る
ソウジ	掃除
クモ	雲
タテ	縦
テンキヨホウ	天気予報
ミナサン	皆さん
キシャ	汽車
ギュウニュウ	牛乳
サライシュウ	再来週
コンバン	今晩
コウガイ	郊外
トリカエル	取り替える
アルク	歩く
メズラシイ	珍しい
オドリ	踊り
イヌ	犬
ヤサイ	野菜
ミミ	耳
ツトメル	勤める
タマゴ	卵
ミズウミ	湖
キッサテン	喫茶店
ナラベル	並べる
ムシ	虫
カカル	掛かる
カビン	花瓶
ハコ	箱
オジョウサン	お嬢さん
センパイ	先輩
ハイケン	拝見
ダイジョウブ	大丈夫
アソコ	彼処
ハズカシイ	恥ずかしい
エダ	枝
ナレル	慣れる
フロ	風呂
ハシ	箸
マンガ	漫画
ゲンカン	玄関
ナクナル	亡くなる
キイロイ	黄色い
アツイ	暑い
ホンダナ	本棚
バン	晩
ネムル	眠る
イモウト	妹
ナル	鳴る
ホンヤク	翻訳
サトウ	砂糖
アネ	姉
カミ	髪
カンジ	漢字
イト	糸
カガミ	鏡
テンランカイ	展覧会
アタタカイ	暖かい
アサイ	浅い
ウソ	嘘
オシイレ	押し入れ
ステル	捨てる
イス	椅子
クツ	靴
ツル	釣る
サビシイ	寂しい
ナサル	為さる
アサゴハン	朝御飯
ニオイ	匂い
ロウカ	廊下
スミ	隅
ヒロウ	拾う
カゼ	風邪
ハナ	鼻
オマワリサン	お巡りさん
トオク	遠く
ゴハン	ご飯
オレイ	お礼
カワ	河
ツクエ	机
セマイ	狭い
トドケル	届ける
キンヨウビ	金曜日
ゲツヨウビ	月曜日
スイヨウビ	水曜日
ドヨウビ	土曜日
ニチヨウビ	日曜日
ネムイ	眠い
モクヨウビ	木曜日
テイネイ	丁寧
センタク	洗濯
ネコ	猫
コタエル	答える
オレル	折れる
シカシ	併し
ヤク	焼く
ヤケル	焼ける
イノル	祈る
ボウシ	帽子
オクサン	奥さん
ズイブン	随分
タンジョウビ	誕生日
キップ	切符
メシアガル	召し上がる
ユレル	揺れる
サムイ	寒い
シバラク	暫く
オバ	伯母
ワスレル	忘れる
フク	吹く
オドロク	驚く
イクツ	幾つ
デキル	出来る
マタハ	又は
オテアライ	お手洗い
トコヤ	床屋
オイワイ	お祝い
デキルダケ	出来るだけ
オニイサン	お兄さん
オジイサン	お祖父さん
オバアサン	お祖母さん
マタ	又
オオキナ	大きな
ナク	鳴く
オナカ	お腹
ヤハリ	矢張り
オモチャ	玩具
ワケ	訳
オドル	踊る
トウキョウ	東京
イタダク	頂く
ダメ	駄目
イチド	一度
クモル	曇る
ナク	泣く
スズシイ	涼しい
ホメル	褒める
カワク	乾く
カエル	変える
オネエサン	お姉さん
サク	咲く
オツリ	お釣り
ショクリョウヒン	食料品
ミガク	磨く
ハク	履く
ケガ	怪我
ヌレル	濡れる
ダレカ	誰か
ワク	沸く
ウマイ	美味い
オカシ	お菓子
ウカガウ	伺う
ハル	貼る
イツ	何時
ニカイダテ	二階建て
カイギシツ	会議室
ケンキュウシツ	研究室
ノド	喉
ネボウ	寝坊
ツモリ	積もり
ソレ	其れ
イクラ	幾ら
タバコ	煙草
ゼヒ	是非
コノゴロ	この頃
フリダス	降り出す
クライ	暗い
モラウ	貰う
ウラ	裏
コレ	此れ
タクサン	沢山
ドコ	何処
カム	噛む
ゴゾンジ	ご存知
コレカラ	此れから
ソシテ	然して
ソレカラ	其れから
ソレデ	其れで
ソレニ	其れに
モシ	若し
ヤッパリ	矢っ張り
ヤル	遣る
ガラス	硝子
ヌルイ	温い
イツモ	何時も
ウレシイ	嬉しい
アナタ	貴方
ヨロシイ	宜しい
クレル	呉れる
ココ	此処
シカル	叱る
スゴイ	凄い
ナルベク	成るべく
ナルホド	成程
マズ	先ず
ソレデハ	其れでは
チョウド	丁度
トウトウ	到頭
ドウシテ	如何して
ウルサイ	煩い
オイシイ	美味しい
マズイ	不味い
マダ	未だ
コノ	此の
シッカリ	確り
ヒドイ	酷い
ツケル	点ける
ソウシテ	然うして
タマニ	偶に
キレイ	綺麗
ゴランニナル	ご覧になる
ショウユ	しょう油
カレラ	彼等
ヨク	良く
ウタ	歌(う)
トオ	通(る)
ハズ	外(す)
ハナシア	話し合(う)
ウケト	受け取(る)
アラタ	改(める)
サダ	定(める)
マワ	回(す)
トイア	問い合(わせる)
デア	出会(う)
ナリタ	成り立(つ)
ウゴ	動(かす)
オモイダ	思い出(す)
ミナオ	見直(す)
タモ	保(つ)
クダ	下(る)
アラソ	争(う)
ウミダ	生み出(す)
カゾ	数(える)
ウリダ	売り出(す)
シリア	知り合(う)
ヒキア	引き上(げる)
ヒキサ	引き下(げる)
ウタガ	疑(う)
サダ	定(まる)
モチ	用(いる)
カマ	構(う)
クワ	加(わる)
ハズ	外(れる)
ハナ	話(す)
ハジ	始(める)
シタ	親(しむ)
クバ	配(る)
ホウ	報(じる)
ヒキト	引き取(る)
クワ	加(える)
トウ	投(じる)
スス	進(む)
ワタ	渡(す)
ワカ	別(れる)
ヒキダ	引き出(す)
ノコ	残(る)
イソ	急(ぐ)
ヤクニタ	役に立(つ)
モウシア	申し上(げる)
ノボ	登(る)
モウ	申(す)
